2019-08-09 00:00:00 Launching analysis for 1113064533 with LEAN Engine v2.5.0.0
2019-08-09 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2019-08-09 00:00:00 Algorithm starting warm up...
2020-01-02 11:00:00 Algorithm finished warming up.
2021-10-20 16:00:00 Rebalancing PLTR: Current Weight: 10.90%, Target Weight: -11.11%, Price: $24.22, EMA: $24.56
2021-10-21 16:00:00 Rebalancing PLTR: Current Weight: -11.33%, Target Weight: 11.11%, Price: $24.78, EMA: $24.58
2021-10-22 16:00:00 Rebalancing PLTR: Current Weight: 10.90%, Target Weight: -11.11%, Price: $24.43, EMA: $24.57
2021-10-25 16:00:00 Rebalancing PLTR: Current Weight: -11.53%, Target Weight: 11.11%, Price: $25.41, EMA: $24.65
2021-10-26 16:00:00 Rebalancing NVDA: Current Weight: 12.61%, Target Weight: 11.11%, Price: $247.17, EMA: $221.45
2021-11-04 16:00:00 Rebalancing NVDA: Current Weight: 12.84%, Target Weight: 11.11%, Price: $298.01, EMA: $243.50
2021-11-09 16:00:00 Rebalancing PLTR: Current Weight: 10.33%, Target Weight: -11.11%, Price: $24.25, EMA: $25.44
2021-11-18 16:00:00 Rebalancing PLTR: Current Weight: -9.72%, Target Weight: -11.11%, Price: $21.50, EMA: $24.03
2021-12-01 16:00:00 Rebalancing PLTR: Current Weight: -9.89%, Target Weight: -11.11%, Price: $19.38, EMA: $22.17
2021-12-06 16:00:00 Rebalancing NVDA: Current Weight: 10.81%, Target Weight: -11.11%, Price: $300.37, EMA: $305.28
2021-12-07 16:00:00 Rebalancing NVDA: Current Weight: -12.01%, Target Weight: 11.11%, Price: $324.27, EMA: $307.09
2021-12-09 16:00:00 Rebalancing NVDA: Current Weight: 10.31%, Target Weight: -11.11%, Price: $304.90, EMA: $307.84
2021-12-13 16:00:00 Rebalancing NVDA: Current Weight: -10.04%, Target Weight: -11.11%, Price: $281.61, EMA: $304.84
2021-12-15 16:00:00 Rebalancing NVDA: Current Weight: -11.99%, Target Weight: 11.11%, Price: $304.59, EMA: $302.96
2021-12-16 16:00:00 Rebalancing NVDA: Current Weight: 10.34%, Target Weight: -11.11%, Price: $283.87, EMA: $301.15
2021-12-23 16:00:00 Rebalancing NVDA: Current Weight: -11.66%, Target Weight: 11.11%, Price: $296.40, EMA: $296.10
2021-12-30 16:00:00 Rebalancing NVDA: Current Weight: 10.89%, Target Weight: -11.11%, Price: $295.86, EMA: $297.91
2022-01-03 16:00:00 Rebalancing NVDA: Current Weight: -11.09%, Target Weight: 11.11%, Price: $301.21, EMA: $297.90
2022-01-04 16:00:00 Rebalancing NVDA: Current Weight: 10.56%, Target Weight: -11.11%, Price: $292.90, EMA: $297.42
2022-01-05 16:00:00 Rebalancing PLTR: Current Weight: -9.85%, Target Weight: -11.11%, Price: $16.96, EMA: $18.78
2022-01-13 16:00:00 Rebalancing NVDA: Current Weight: -9.82%, Target Weight: -11.11%, Price: $265.75, EMA: $286.14
2022-01-18 16:00:00 Rebalancing PLTR: Current Weight: -9.59%, Target Weight: -11.11%, Price: $14.97, EMA: $17.35
2022-01-20 16:00:00 Rebalancing NVDA: Current Weight: -9.73%, Target Weight: -11.11%, Price: $241.50, EMA: $275.54
2022-01-21 16:00:00 Rebalancing PLTR: Current Weight: -9.80%, Target Weight: -11.11%, Price: $13.53, EMA: $16.53
2022-01-25 16:00:00 Rebalancing NVDA: Current Weight: -9.89%, Target Weight: -11.11%, Price: $223.24, EMA: $263.70
2022-01-27 16:00:00 Rebalancing PLTR: Current Weight: -9.89%, Target Weight: -11.11%, Price: $12.28, EMA: $15.31
